NOM;EXPLOITANT;ADR_NUM;ADR_LIBVOI;NOM_COMMUNE;ID_EQUIP;ID_PARKING;Geo Shape;Geo Point;MOYENS_ACCES;GPL;HAUTEUR_MAX;NB_PLACES;NB_VELO_SECUR;NB_PLACES_PMR;ACCESSIBILITE;HORAIRES_OUVERTURE;HORAIRES_FERMETURE;FERMETURE_EXCEPTION;HORAIRES_EXCEPTION;THEME;SOUS_THEME
Parking Berges de Maine;ALTER;26;ALLÉE FRANÇOIS MITTERRAND;ANGERS;2524;Berges De Maine;"{""type"": ""Point"", ""coordinates"": [-0.549642004596277, 47.47910552658146]}";47.4791055266, -0.549642004596;AVENUE DES DROITS DE  L'HOMME;OUI;1M90;305;0;7;24-24;07:00;00:00;;;TRANSPORT;PARKING
Parking Larrey;ALTER;26;ALLÉE FRANÇOIS MITTERRAND;ANGERS;7550;Larrey;"{""type"": ""Point"", ""coordinates"": [-0.554951239998175, 47.480637051067134]}";47.4806370511, -0.554951239998;RUE LARREY;OUI;1M90;28;0;2;24-24;;;;;TRANSPORT;PARKING
Parking Molière;ALTER;37;RUE THIERS;ANGERS;2089;Moliere;"{""type"": ""Point"", ""coordinates"": [-0.554276891797808, 47.47466321564762]}";47.4746632156, -0.554276891798;RUE THIERS;OUI;1M90;416;38;9;24-24;07:00;20:00;;;TRANSPORT;PARKING
Parking Poissonnerie;ALTER;7;RUE PLANTAGENÊT;ANGERS;2574;Poissonnerie;"{""type"": ""Point"", ""coordinates"": [-0.555937486434385, 47.47328154364176]}";47.4732815436, -0.555937486434;;;;;;;;;;;;TRANSPORT;PARKING
Parking Leclerc;ALTER;14;BOULEVARD BESSONNEAU;ANGERS;2275;Leclerc;"{""type"": ""Point"", ""coordinates"": [-0.546056082569711, 47.471441920006974]}";47.47144192, -0.54605608257;PLACE LECLERC / PALAIS DE JUSTICE;OUI;1M90;235;0;4;24-24;;;SAM 00:00-17:00;;TRANSPORT;PARKING
Parking Mitterrand;ALTER;1;PLACE FRANÇOIS MITTERRAND;ANGERS;2378;Mitterrand Rennes;"{""type"": ""Point"", ""coordinates"": [-0.550574131243347, 47.47660839204187]}";47.476608392, -0.550574131243;RUE DE RENNES;OUI;1M90;133;;;24-24;;;;;TRANSPORT;PARKING
Parking Mitterrand Maine;ALTER;1;PLACE FRANÇOIS MITTERRAND;ANGERS;7531;Mitterrand Maine;"{""type"": ""Point"", ""coordinates"": [-0.552025911935098, 47.477242023410454]}";47.4772420234, -0.552025911935;BOULEVARD ROBERT;OUI;1M90;151;;;24-24;;;;;TRANSPORT;PARKING
Parking St Laud;ALTER;7;ESPLANADE DE LA GARE;ANGERS;2516;Saint Laud;"{""type"": ""Point"", ""coordinates"": [-0.558943020691773, 47.46448891971163]}";47.4644889197, -0.558943020692;RUE DENIS PAPIN;OUI;1M90;450;0;10;24-24;05:30;00:00;;;TRANSPORT;PARKING
Parking Marengo;ALTER;11;AVENUE TURPIN DE CRISSÉ;ANGERS;2316;Marengo;"{""type"": ""Point"", ""coordinates"": [-0.554823179983747, 47.46488426817195]}";47.4648842682, -0.554823179984;AVENUE TURPIN DE CRISSE / RUE LETANDUERE;OUI;1M90;305;0;7;24-24;;;;;TRANSPORT;PARKING
Parking Haras;ALTER;14;ALLÉE DU HARAS;ANGERS;2324;Haras Public;"{""type"": ""Point"", ""coordinates"": [-0.553765416643931, 47.464899636371676]}";47.4648996364, -0.553765416644;AVENUE TURPIN DE CRISSE;OUI;1M90;112;70;2;24-24;;;;;TRANSPORT;PARKING
Parking St Laud II;ALTER;7;ESPLANADE DE LA GARE;ANGERS;7530;Saint Laud 2;"{""type"": ""Point"", ""coordinates"": [-0.560504672316375, 47.464043860624045]}";47.4640438606, -0.560504672316;RUE AUGUSTE GAUTIER;NON;2M00;576;;12;24-24;05:30;00:00;;;TRANSPORT;PARKING
Parking Maternité;ALTER;26;ALLÉE FRANÇOIS MITTERRAND;ANGERS;7570;Maternite;"{""type"": ""Point"", ""coordinates"": [-0.554413623853033, 47.48145469693686]}";47.4814546969, -0.554413623853;RUE LARREY;OUI;1M90;56;0;3;24-24;;;;;TRANSPORT;PARKING
Parking Confluences;ALTER;26;ALLÉE FRANÇOIS MITTERRAND;ANGERS;7590;Confluences;"{""type"": ""Point"", ""coordinates"": [-0.554545651221503, 47.48067537791602]}";47.4806753779, -0.554545651222;RUE LARREY;OUI;1M90;30;0;1;24-24;;;;;TRANSPORT;PARKING
Parking Bressigny;ALTER;43;RUE BRESSIGNY;ANGERS;2094;Bressigny;"{""type"": ""Point"", ""coordinates"": [-0.549342240869709, 47.46734248182215]}";47.4673424818, -0.54934224087;RUE BRESSIGNY;OUI;1M90;172;28;7;24-24;06:00;00:30;;DIM 06:00-15:00;TRANSPORT;PARKING
Parking du Mail;ALTER;2;AVENUE DU ONZE NOVEMBRE 1918;ANGERS;2545;Mail;"{""type"": ""Point"", ""coordinates"": [-0.544924904001022, 47.47125470455146]}";47.4712547046, -0.544924904001;AVENUE DU 11 NOVEMBRE / BOULEVARD DU MARECHAL JOFFRE;OUI;1M90;960;0;20;24-24;;;;;TRANSPORT;PARKING
Parking du Ralliement;ALTER;5;PLACE DU RALLIEMENT;ANGERS;2377;Ralliement;"{""type"": ""Point"", ""coordinates"": [-0.551806483236706, 47.471224288602876]}";47.4712242886, -0.551806483237;RUE CHAUSSEE SAINT-PIERRE;OUI;1M90;432;0;9;24-24;07:00;00:30;;;TRANSPORT;PARKING
Parking Le Quai;ALTER;28;RUE DE LA TANNERIE;ANGERS;2332;Quai;"{""type"": ""Point"", ""coordinates"": [-0.565068160203855, 47.47263306201524]}";47.472633062, -0.565068160204;RUE JUSTICIERE;OUI;1M90;180;0;4;24-24;07:00;02:00;;;TRANSPORT;PARKING
Parking République;ALTER;18;PLACE DE LA RÉPUBLIQUE;ANGERS;2581;Republique;"{""type"": ""Point"", ""coordinates"": [-0.554958380400542, 47.47256236755738]}";47.4725623676, -0.554958380401;RUE PLANTAGENET;OUI;1M90;383;26;11;24-24;06:00;00:30;;;TRANSPORT;PARKING
